datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,season_2,season_3,season_4,y_pred
2011-01-20 00:00:00,1,0,1,1,10.66,11.365,56,26.0027,0,0,0,96.25894123364937
2011-01-20 01:00:00,1,0,1,1,10.66,13.635,56,0.0,0,0,0,96.25894123364937
2011-01-20 02:00:00,1,0,1,1,10.66,13.635,56,0.0,0,0,0,96.25894123364937
2011-01-20 03:00:00,1,0,1,1,10.66,12.88,56,11.0014,0,0,0,96.25894123364937
2011-01-20 04:00:00,1,0,1,1,10.66,12.88,56,11.0014,0,0,0,96.25894123364937
2011-01-20 05:00:00,1,0,1,1,9.84,11.365,60,15.0013,0,0,0,75.80816188047864
2011-01-20 06:00:00,1,0,1,1,9.02,10.605,60,15.0013,0,0,0,66.63530907234649
2011-01-20 07:00:00,1,0,1,1,9.02,10.605,55,15.0013,0,0,0,80.73271725364472
2011-01-20 08:00:00,1,0,1,1,9.02,10.605,55,19.0012,0,0,0,80.73271725364472
2011-01-20 09:00:00,1,0,1,2,9.84,11.365,52,15.0013,0,0,0,98.36401497055581
2011-01-20 10:00:00,1,0,1,1,10.66,11.365,48,19.9995,0,0,0,118.81479432372655
2011-01-20 11:00:00,1,0,1,2,11.48,13.635,45,11.0014,0,0,0,136.4460920406376
2011-01-20 12:00:00,1,0,1,2,12.3,16.665,42,0.0,0,0,0,154.0773897575487
2011-01-20 13:00:00,1,0,1,2,11.48,14.395,45,7.0015,0,0,0,136.4460920406376
2011-01-20 14:00:00,1,0,1,2,12.3,15.15,45,8.9981,0,0,0,145.61894484876976
2011-01-20 15:00:00,1,0,1,2,13.12,15.91,45,12.998,0,0,0,154.79179765690188
2011-01-20 16:00:00,1,0,1,2,12.3,15.15,49,8.9981,0,0,0,134.34101830373118
2011-01-20 17:00:00,1,0,1,2,12.3,15.91,49,7.0015,0,0,0,134.34101830373118
2011-01-20 18:00:00,1,0,1,2,10.66,12.88,56,12.998,0,0,0,96.25894123364937
2011-01-20 19:00:00,1,0,1,1,10.66,11.365,56,22.0028,0,0,0,96.25894123364937
2011-01-20 20:00:00,1,0,1,2,10.66,12.12,60,19.0012,0,0,0,84.98101468861078
2011-01-20 21:00:00,1,0,1,2,9.84,11.365,60,16.9979,0,0,0,75.80816188047864
2011-01-20 22:00:00,1,0,1,2,9.84,10.605,65,19.0012,0,0,0,61.7107536991804
2011-01-20 23:00:00,1,0,1,2,9.84,10.605,65,22.0028,0,0,0,61.7107536991804
2011-01-21 00:00:00,1,0,1,2,9.84,11.365,70,16.9979,0,0,0,47.61334551788218
2011-01-21 01:00:00,1,0,1,2,9.84,11.365,70,16.9979,0,0,0,47.61334551788218
2011-01-21 02:00:00,1,0,1,3,9.84,12.12,75,11.0014,0,0,0,33.515937336583946
2011-01-21 03:00:00,1,0,1,3,9.02,10.605,80,19.9995,0,0,0,10.245676347153562
2011-01-21 04:00:00,1,0,1,2,9.02,12.88,87,6.0032,0,0,0,-9.490695106663964
2011-01-21 05:00:00,1,0,1,1,9.84,9.85,60,27.9993,0,0,0,75.80816188047864
2011-01-21 06:00:00,1,0,1,1,9.02,10.605,55,16.9979,0,0,0,80.73271725364472
2011-01-21 07:00:00,1,0,1,1,8.2,9.09,51,19.0012,0,0,0,82.83779099055116
2011-01-21 08:00:00,1,0,1,1,8.2,9.09,47,22.0028,0,0,0,94.11571753558974
2011-01-21 09:00:00,1,0,1,1,8.2,9.09,51,23.9994,0,0,0,82.83779099055116
2011-01-21 10:00:00,1,0,1,1,8.2,8.335,47,31.0009,0,0,0,94.11571753558974
2011-01-21 11:00:00,1,0,1,1,9.02,9.09,41,31.0009,0,0,0,120.20546016127976
2011-01-21 12:00:00,1,0,1,1,9.02,9.09,27,39.0007,0,0,0,159.6782030689148
2011-01-21 13:00:00,1,0,1,1,8.2,7.575,21,39.0007,0,0,0,167.42224007834054
2011-01-21 14:00:00,1,0,1,1,8.2,7.575,25,35.0008,0,0,0,156.14431353330195
2011-01-21 15:00:00,1,0,1,1,6.56,6.06,26,30.0026,0,0,0,134.97912628077802
2011-01-21 16:00:00,1,0,1,1,6.56,6.82,26,23.9994,0,0,0,134.97912628077802
2011-01-21 17:00:00,1,0,1,1,5.74,6.06,28,23.9994,0,0,0,120.1673102001266
2011-01-21 18:00:00,1,0,1,1,4.92,6.06,30,16.9979,0,0,0,105.35549411947517
2011-01-21 19:00:00,1,0,1,1,4.92,5.305,30,22.0028,0,0,0,105.35549411947517
2011-01-21 20:00:00,1,0,1,1,4.1,3.79,33,27.9993,0,0,0,87.72419640256408
2011-01-21 21:00:00,1,0,1,1,3.28,3.79,38,19.0012,0,0,0,64.4539354131337
2011-01-21 22:00:00,1,0,1,1,2.46,1.515,41,26.0027,0,0,0,46.82263769622263
2011-01-21 23:00:00,1,0,1,1,2.46,2.275,38,22.0028,0,0,0,55.28108260500157
2011-01-22 00:00:00,1,0,0,1,1.64,1.515,45,16.9979,0,0,0,26.371858343051898
2011-01-22 01:00:00,1,0,0,2,1.64,0.0,41,26.0027,0,0,0,37.64978488809048
2011-01-22 02:00:00,1,0,0,2,1.64,1.515,41,16.9979,0,0,0,37.64978488809048
2011-01-22 03:00:00,1,0,0,2,1.64,1.515,41,19.0012,0,0,0,37.64978488809048
2011-01-22 04:00:00,1,0,0,2,0.82,0.76,48,19.9995,0,0,0,8.74056062614082
2011-01-22 06:00:00,1,0,0,2,0.82,1.515,44,15.0013,0,0,0,20.0184871711794
2011-01-22 07:00:00,1,0,0,1,0.82,0.76,44,19.0012,0,0,0,20.0184871711794
2011-01-22 08:00:00,1,0,0,1,0.82,0.0,44,22.0028,0,0,0,20.0184871711794
2011-01-22 09:00:00,1,0,0,1,1.64,1.515,41,16.9979,0,0,0,37.64978488809048
2011-01-22 10:00:00,1,0,0,2,1.64,3.03,41,11.0014,0,0,0,37.64978488809048
2011-01-22 11:00:00,1,0,0,2,2.46,3.79,38,8.9981,0,0,0,55.28108260500157
2011-01-22 12:00:00,1,0,0,2,2.46,5.305,38,7.0015,0,0,0,55.28108260500157
2011-01-22 13:00:00,1,0,0,1,3.28,8.335,35,0.0,0,0,0,72.91238032191265
2011-01-22 14:00:00,1,0,0,1,4.1,6.82,33,7.0015,0,0,0,87.72419640256408
2011-01-22 15:00:00,1,0,0,1,4.92,7.575,28,0.0,0,0,0,110.99445739199444
2011-01-22 16:00:00,1,0,0,1,4.92,6.82,28,12.998,0,0,0,110.99445739199444
2011-01-22 17:00:00,1,0,0,1,4.92,9.85,28,0.0,0,0,0,110.99445739199444
2011-01-22 18:00:00,1,0,0,1,3.28,4.545,35,12.998,0,0,0,72.91238032191265
2011-01-22 19:00:00,1,0,0,1,3.28,5.305,35,8.9981,0,0,0,72.91238032191265
2011-01-22 20:00:00,1,0,0,1,2.46,3.79,45,11.0014,0,0,0,35.544711151184046
2011-01-22 21:00:00,1,0,0,1,2.46,5.305,41,6.0032,0,0,0,46.82263769622263
2011-01-22 22:00:00,1,0,0,1,2.46,7.575,49,0.0,0,0,0,24.266784606145464
2011-01-22 23:00:00,1,0,0,1,1.64,3.79,57,7.0015,0,0,0,-7.461921292063863
2011-01-23 00:00:00,1,0,0,1,1.64,3.79,57,7.0015,0,0,0,-7.461921292063863
2011-01-23 01:00:00,1,0,0,1,1.64,3.79,57,7.0015,0,0,0,-7.461921292063863
2011-01-23 02:00:00,1,0,0,1,0.82,3.03,62,8.9981,0,0,0,-30.732182281494232
2011-01-23 03:00:00,1,0,0,1,0.82,3.03,62,8.9981,0,0,0,-30.732182281494232
2011-01-23 05:00:00,1,0,0,2,1.64,3.79,57,7.0015,0,0,0,-7.461921292063863
2011-01-23 06:00:00,1,0,0,2,1.64,3.79,57,7.0015,0,0,0,-7.461921292063863
2011-01-23 07:00:00,1,0,0,1,3.28,5.305,58,11.0014,0,0,0,8.064302687940781
2011-01-23 08:00:00,1,0,0,1,2.46,3.79,62,11.0014,0,0,0,-12.386476665229935
2011-01-23 09:00:00,1,0,0,1,4.1,3.79,54,23.9994,0,0,0,28.515082041111512
2011-01-23 10:00:00,1,0,0,1,5.74,5.305,46,26.0027,0,0,0,69.41664074745297
